run_id,variant,profile,repeat,status,git_commit,evidence_sha256,duration_ms,reason_latency_ms,a2a_reference_bytes,prover_time_ms,verifier_gas,anchor_gas,rtp_jitter_ms,rtp_loss_pct,dtls_rtp_jitter_ms,dtls_rtp_loss_pct,replay_rejected,zero_anchor_rejected,unauthorized_submitter_rejected
full_l4_clean_baseline_r1_20260531T192917Z,full_l4,clean_baseline,1,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,1d80581ceb3e7894d51edf2aa75e47c71a18708e5a3efc8fe1ec4f1c9923982e,34118,,,,,,,,,,,,
full_l4_clean_baseline_r2_20260531T192951Z,full_l4,clean_baseline,2,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,7c27e870b4d0c3f0b16a6b4a6f2186e50f66f721fa7491bcc93ef884b9e333bd,36877,,,,,,,,,,,,
full_l4_clean_baseline_r3_20260531T193028Z,full_l4,clean_baseline,3,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,c554ab832400b42dd407006bb208041d124e1cb7f6b1db9cf32694f955a9d9cd,37428,,,,,,,,,,,,
full_l4_clean_baseline_r4_20260531T193105Z,full_l4,clean_baseline,4,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,b8d69ad2fe9e5dcb1001c2da20d19f6315d0571b1548df0f6b9ed542aada30df,38349,,,,,,,,,,,,
full_l4_clean_baseline_r5_20260531T193144Z,full_l4,clean_baseline,5,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,f22718807cfb791af695a83e778428aa24d8e533ae7c349587b6c1b6e5c41276,38619,,,,,,,,,,,,
full_l4_clean_baseline_r6_20260531T193222Z,full_l4,clean_baseline,6,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,c2b096f4a7bd4a9f3544e6cb09c15fb952a85b6a0cad7f2561ba0d3919036370,39482,,,,,,,,,,,,
full_l4_clean_baseline_r7_20260531T193302Z,full_l4,clean_baseline,7,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,cbc7a4838fb15fdb20eaa53ccab45946b8180bcc214e55a3b57edeba5c98557f,40649,,,,,,,,,,,,
full_l4_clean_baseline_r8_20260531T193342Z,full_l4,clean_baseline,8,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,ea3f7c135a96b3bbf231a5d59e7542036ae8b203a3c4513db550d24e77a083b0,41044,,,,,,,,,,,,
full_l4_clean_baseline_r9_20260531T193424Z,full_l4,clean_baseline,9,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,feb06e178137c6a63be566945cc7ff70c6022dfc067d4c06521d1718afb2d026,41816,,,,,,,,,,,,
full_l4_clean_baseline_r10_20260531T193505Z,full_l4,clean_baseline,10,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,d5631f933952b8e0f4cdf883f63e79633b9c2cc11161eefb464b4538d0929d92,42172,,,,,,,,,,,,
full_l4_delay_20ms_r1_20260531T193548Z,full_l4,delay_20ms,1,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,1a08aebe7ed9714f5137b4904e2c11a86d77fb6b74cfd1a61fa6835bf781b35a,44013,,,,,,,,,,,,
full_l4_delay_20ms_r2_20260531T193632Z,full_l4,delay_20ms,2,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,7f7d304940895462648049f1f6dc6679f75f68cbc746fa6eb7dcd61dca2651c1,44684,,,,,,,,,,,,
full_l4_delay_20ms_r3_20260531T193716Z,full_l4,delay_20ms,3,PASS,1ba9e4f91fd72c66352d0bb81c4353e627aad0e3,36f3f914eb4ec132136d7a165a3c49e0e9cbe3ce6aa5f658fe55eae32858e76c,45409,,,,,,,,,,,,
