run_id,variant,profile,repeat,git_hash,duration_ms,status,exit_code,command_used,anchor_gas_detected,stdout_path,stderr_path,sha256_path,manifest_path
stage_b_20260627_233849_full-l4_clean_r1,full-l4,clean,1,30917bc846df503b690a7d0a6846f96a33ceb201,95231,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r1/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r1/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r1/manifest.json
stage_b_20260627_233849_full-l4_clean_r2,full-l4,clean,2,30917bc846df503b690a7d0a6846f96a33ceb201,83791,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r2/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r2/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r2/manifest.json
stage_b_20260627_233849_full-l4_clean_r3,full-l4,clean,3,30917bc846df503b690a7d0a6846f96a33ceb201,84663,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r3/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r3/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r3/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r3/manifest.json
stage_b_20260627_233849_full-l4_clean_r4,full-l4,clean,4,30917bc846df503b690a7d0a6846f96a33ceb201,86292,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r4/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r4/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r4/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_full-l4_clean_r4/manifest.json
stage_b_20260627_233849_no-ipfs_clean_r1,no-ipfs,clean,1,30917bc846df503b690a7d0a6846f96a33ceb201,2276,PASS,0,bash scripts/baselines/run_no_ipfs.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r1/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r1/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r1/manifest.json
stage_b_20260627_233849_no-ipfs_clean_r2,no-ipfs,clean,2,30917bc846df503b690a7d0a6846f96a33ceb201,1907,PASS,0,bash scripts/baselines/run_no_ipfs.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r2/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r2/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r2/manifest.json
stage_b_20260627_233849_no-ipfs_clean_r3,no-ipfs,clean,3,30917bc846df503b690a7d0a6846f96a33ceb201,2010,PASS,0,bash scripts/baselines/run_no_ipfs.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r3/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r3/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r3/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r3/manifest.json
stage_b_20260627_233849_no-ipfs_clean_r4,no-ipfs,clean,4,30917bc846df503b690a7d0a6846f96a33ceb201,2103,PASS,0,bash scripts/baselines/run_no_ipfs.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r4/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r4/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r4/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_no-ipfs_clean_r4/manifest.json
stage_b_20260627_233849_oracle-only_clean_r1,oracle-only,clean,1,30917bc846df503b690a7d0a6846f96a33ceb201,1704,PASS,0,bash scripts/baselines/run_oracle_only.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r1/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r1/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r1/manifest.json
stage_b_20260627_233849_oracle-only_clean_r2,oracle-only,clean,2,30917bc846df503b690a7d0a6846f96a33ceb201,1725,PASS,0,bash scripts/baselines/run_oracle_only.sh,,runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r2/stdout.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r2/stderr.log,runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_b_20260627_233849_oracle-only_clean_r2/manifest.json
