run_id,variant,profile,repeat,git_hash,duration_ms,status,exit_code,command_used,anchor_gas_detected,stdout_path,stderr_path,sha256_path,manifest_path
stage_c_20260627_235121_full-l4_clean_r1,full-l4,clean,1,05aa9266b5131f557b38117228f2aa9d7446a87e,101007,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r1/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r1/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r1/manifest.json
stage_c_20260627_235121_full-l4_clean_r2,full-l4,clean,2,05aa9266b5131f557b38117228f2aa9d7446a87e,88237,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r2/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r2/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_clean_r2/manifest.json
stage_c_20260627_235121_full-l4_delay_jitter_loss_r1,full-l4,delay_jitter_loss,1,05aa9266b5131f557b38117228f2aa9d7446a87e,94659,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r1/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r1/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r1/manifest.json
stage_c_20260627_235121_full-l4_delay_jitter_loss_r2,full-l4,delay_jitter_loss,2,05aa9266b5131f557b38117228f2aa9d7446a87e,96583,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r2/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r2/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_loss_r2/manifest.json
stage_c_20260627_235121_full-l4_delay_jitter_r1,full-l4,delay_jitter,1,05aa9266b5131f557b38117228f2aa9d7446a87e,92309,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r1/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r1/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r1/manifest.json
stage_c_20260627_235121_full-l4_delay_jitter_r2,full-l4,delay_jitter,2,05aa9266b5131f557b38117228f2aa9d7446a87e,94674,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r2/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r2/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_jitter_r2/manifest.json
stage_c_20260627_235121_full-l4_delay_r1,full-l4,delay,1,05aa9266b5131f557b38117228f2aa9d7446a87e,89731,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r1/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r1/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r1/manifest.json
stage_c_20260627_235121_full-l4_delay_r2,full-l4,delay,2,05aa9266b5131f557b38117228f2aa9d7446a87e,90912,PASS,0,bash scripts/reproduce_all.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r2/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r2/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_full-l4_delay_r2/manifest.json
stage_c_20260627_235121_no-ipfs_clean_r1,no-ipfs,clean,1,05aa9266b5131f557b38117228f2aa9d7446a87e,2161,PASS,0,bash scripts/baselines/run_no_ipfs.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r1/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r1/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r1/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r1/manifest.json
stage_c_20260627_235121_no-ipfs_clean_r2,no-ipfs,clean,2,05aa9266b5131f557b38117228f2aa9d7446a87e,2057,PASS,0,bash scripts/baselines/run_no_ipfs.sh,,runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r2/stdout.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r2/stderr.log,runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r2/SHA256SUMS.txt,/home/sk02352/zktrustllm-agents-l4/runtime_artifacts/n8n/runs/stage_c_20260627_235121_no-ipfs_clean_r2/manifest.json
