family,condition,n,median_ms,p95_ms,mean_ms,stdev_ms
raft,baseline,90,12.017500,16.224800,12.279533,2.183992
raft,one_follower_offline,90,10.252000,12.682300,10.550567,1.098041
raft,post_leader_failover,90,10.432000,14.455350,11.016044,1.796941
raft,recovered,90,10.590500,19.134400,12.117433,3.480189
raft,leader_failover_recovery,3,1125.939000,1129.572300,1126.575667,3.130932
raft,cluster_recovery,3,373.708000,1044.364600,618.414000,433.453254
qbft,baseline,90,4101.137000,4116.589950,4101.730378,8.555302
qbft,one_validator_offline,90,4100.056500,8116.963600,4854.368489,1691.360734
qbft,recovered,90,4105.238500,8126.650100,4907.033933,1615.257135
qbft,quorum_recovery,3,14649.685000,15127.693000,14816.385000,315.977867
