index,step,component,path,exists,sizeBytes,sha256,statusOrDecision,previousEntryHash,entryHash
1,Step 96,Agentic automation suite,results/l4_agentic_automation/agentic_automation_summary.json,True,12756,29846cb3eae769fbcf67f579d4d0a1650033cb40c084c0e65d364cac7f3b07e5,PASS,GENESIS,0b86f548d3f688a2cfa7490940b666edcb2ce0f8cd781a2046844b0475a87e7f
2,Step 96,Agentic automation manifest,results/l4_agentic_automation/agentic_automation_artifact_manifest.csv,True,27518,840f8bee4fe8195436caaab4f0ef357db4a33b37030f1fcd524139fed79b51bd,N/A,0b86f548d3f688a2cfa7490940b666edcb2ce0f8cd781a2046844b0475a87e7f,78407dd77ec55ba8903e268a6ff9d4574f2ce52999135897d8933834a008698b
3,Step 97,Closed-loop KPI decision agent,results/l4_closed_loop_agent/closed_loop_kpi_decision.json,True,17446,520e71e30a4361b79da566a204c892e0738b0bad2631249abfea920da0904a27,GENERATE_SUPERVISOR_REPORT,78407dd77ec55ba8903e268a6ff9d4574f2ce52999135897d8933834a008698b,e3fbb78d2b14bddc5e9ded464476f2020aa5e459a6638e8a38a88a10fc9b0748
4,Step 97,Closed-loop KPI decision report,results/l4_closed_loop_agent/closed_loop_kpi_decision.md,True,9272,f1e7d4f37e4ed0cc67d64dd07c5ac96c7f18cbde62f03132a36350929a4033b8,N/A,e3fbb78d2b14bddc5e9ded464476f2020aa5e459a6638e8a38a88a10fc9b0748,ba4fb6c4310fa95d105ed2e3a99e6911f3df7d903f9604affb7bcef0cf8e4649
5,Step 98,Closed-loop remediation executor,results/l4_remediation_executor/remediation_execution_plan.json,True,1234,4ee090a1749aafaec471664d5985149ff3a90512c2a48b2d78bc58900296d40e,EXECUTED_PASS,ba4fb6c4310fa95d105ed2e3a99e6911f3df7d903f9604affb7bcef0cf8e4649,928d5773cbfbc012dc0a5b3014b0ae4c627478e7ae029c1fa17a43fdd5af8e5c
6,Step 98,Closed-loop remediation report,results/l4_remediation_executor/remediation_execution_plan.md,True,984,b86909a09a99f37d738fbd51455c64fd6410abf11d1ca443dab219d0bc9b639c,N/A,928d5773cbfbc012dc0a5b3014b0ae4c627478e7ae029c1fa17a43fdd5af8e5c,38b48f703e597bd287107f48141e26272992c08f2cbb044ab9666191f9f7119b
7,Step 99,Automation governance dashboard,results/l4_automation_governance/automation_governance_dashboard.json,True,1829,cd2e0c6762e55cf8adc16c169ab97973190ec10500448439c583dc3936cb9550,JSON_PRESENT,38b48f703e597bd287107f48141e26272992c08f2cbb044ab9666191f9f7119b,4b3a93894821ce82cfc54407fc3015ba36e3388a1a0bc01c69aa3510aa8fd000
8,Step 99,Automation governance report,docs/l4/automation_governance/L4_AUTOMATION_GOVERNANCE_DASHBOARD.md,True,2293,bb33227f4f3b263525d82342b4d41b36c2db6dc1e71f5e65a2704dc9cecdaeed,N/A,4b3a93894821ce82cfc54407fc3015ba36e3388a1a0bc01c69aa3510aa8fd000,45e0e40dc1e838fab535cf208491ac61c554360c2f7f32a388e3c3c8c0c44427
9,Step 100,Automation policy,configs/l4_automation_policy.json,True,1092,263e4824faa8788ce6cb6fe54681f6639bf1b8ec4b4e2ab59d3f67eb8eb0e203,JSON_PRESENT,45e0e40dc1e838fab535cf208491ac61c554360c2f7f32a388e3c3c8c0c44427,c56a7edace21511cf4d5433b7a24265b1d0913e57324d417101f66539e7c1963
10,Step 100,Policy-gated scheduler,results/l4_policy_scheduler/policy_scheduler_summary.json,True,1755,24690e55b7389eb07d0b37bfbdbe03b1ba14e983cda11c5a1d6f6388f05a31f4,EXECUTED_PASS,c56a7edace21511cf4d5433b7a24265b1d0913e57324d417101f66539e7c1963,a216517c9ada897db3a66a9438790c44f3397e5a9b242aa191dcceddccd6310b
11,Step 100,Policy-gated scheduler report,results/l4_policy_scheduler/policy_scheduler_summary.md,True,1188,a1f12a58a7f73664920078616c3b41cc4f4f3230c77e8a0f3f9ae6363fd52f4b,N/A,a216517c9ada897db3a66a9438790c44f3397e5a9b242aa191dcceddccd6310b,e9e38e16abc323cfea8d4c082222c9b060fe9cc3600ebb36c916c89670632329
12,Step 100,Rollback note,results/l4_policy_scheduler/policy_scheduler_rollback_note.md,True,1054,c72e6c74ebdda8c5caafef2cecaf9a9bd3dca9844df1faea900695ff2a040bf2,N/A,e9e38e16abc323cfea8d4c082222c9b060fe9cc3600ebb36c916c89670632329,9696359d2ccd86a50275f95292362bd2294e0cea4fd1821d5ed219d8ba28a0f0
13,Supervisor report,Full technical documentation PDF,results/l4_report_pdf/zktrustllm_l4_full_technical_documentation_steps77_93.pdf,True,1257708,63511dce6cba9e58253646d9d97e60f5d727918474a1bcf1429fc831bbd8f4b9,N/A,9696359d2ccd86a50275f95292362bd2294e0cea4fd1821d5ed219d8ba28a0f0,4948002aeeb79c460c3c9d96e8820c26358071da569eda2ccf7c1650aecd7d3e
14,Supervisor report,Governance dashboard PDF,results/l4_report_pdf/zktrustllm_l4_automation_governance_dashboard_steps96_98.pdf,True,4220,188695f45ba44749a71b2d1dc57ad8161e455a5bc540546008df24cd4c254449,N/A,4948002aeeb79c460c3c9d96e8820c26358071da569eda2ccf7c1650aecd7d3e,0db58b3f2c09e530c280dc6cd795a53df54e3337b4a46aa9c70fe6ea166c2567
