component,check,observed,expected,status,recommendation
mcp_tool_test,json_available_and_valid,valid,valid,PASS,Regenerate this artifact if missing or invalid.
semi_live_control,json_available_and_valid,valid,valid,PASS,Regenerate this artifact if missing or invalid.
multi_agent_scaling,json_available_and_valid,valid,valid,PASS,Regenerate this artifact if missing or invalid.
plain_rtp,json_available_and_valid,valid,valid,PASS,Regenerate this artifact if missing or invalid.
plain_rtp,received_packets_positive,2328,>= 1,PASS,Rerun plain_rtp telemetry.
plain_rtp,bitrate_positive,833.605,> 0,PASS,Rerun plain_rtp telemetry and inspect sender/receiver logs.
plain_rtp,packet_loss_reasonable,0.0,<= 5.0,PASS,Rerun plain_rtp; inspect RTP sequence or impairment state.
plain_rtp,jitter_reasonable,0.229169,<= 1000.0,PASS,Recompute arrival-gap jitter or rerun plain_rtp clean baseline.
dtls_rtp,json_available_and_valid,valid,valid,PASS,Regenerate this artifact if missing or invalid.
dtls_rtp,received_packets_positive,769,>= 1,PASS,Rerun dtls_rtp telemetry.
dtls_rtp,bitrate_positive,102.17,> 0,PASS,Rerun dtls_rtp telemetry and inspect sender/receiver logs.
dtls_rtp,packet_loss_reasonable,0.0,<= 5.0,PASS,Rerun dtls_rtp; inspect RTP sequence or impairment state.
dtls_rtp,jitter_reasonable,0.95001,<= 1000.0,PASS,Recompute arrival-gap jitter or rerun dtls_rtp clean baseline.
loopback_impairment,json_available_and_valid,valid,valid,PASS,Regenerate this artifact if missing or invalid.
loopback_impairment,has_rows,8,>= 1,PASS,Rerun loopback_impairment matrix.
loopback_impairment,row_0_packets_positive,2328,>= 1,PASS,Inspect row 0 receiver logs.
loopback_impairment,row_0_bitrate_positive,833.60512,> 0,PASS,Inspect row 0 sender/receiver logs.
loopback_impairment,row_0_jitter_reasonable,10.709105,<= 1000.0,PASS,Inspect row 0; recompute arrival-gap jitter if needed.
loopback_impairment,row_1_packets_positive,769,>= 1,PASS,Inspect row 1 receiver logs.
loopback_impairment,row_1_bitrate_positive,102.16992,> 0,PASS,Inspect row 1 sender/receiver logs.
loopback_impairment,row_1_jitter_reasonable,0.926337,<= 1000.0,PASS,Inspect row 1; recompute arrival-gap jitter if needed.
loopback_impairment,row_2_packets_positive,2328,>= 1,PASS,Inspect row 2 receiver logs.
loopback_impairment,row_2_bitrate_positive,833.60512,> 0,PASS,Inspect row 2 sender/receiver logs.
loopback_impairment,row_2_jitter_reasonable,10.703096,<= 1000.0,PASS,Inspect row 2; recompute arrival-gap jitter if needed.
loopback_impairment,row_3_packets_positive,769,>= 1,PASS,Inspect row 3 receiver logs.
loopback_impairment,row_3_bitrate_positive,102.41888,> 0,PASS,Inspect row 3 sender/receiver logs.
loopback_impairment,row_3_jitter_reasonable,0.98316,<= 1000.0,PASS,Inspect row 3; recompute arrival-gap jitter if needed.
loopback_impairment,row_4_packets_positive,2328,>= 1,PASS,Inspect row 4 receiver logs.
loopback_impairment,row_4_bitrate_positive,833.70944,> 0,PASS,Inspect row 4 sender/receiver logs.
