arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
7.819,3213,3262520529,338741471,193,181,0.000000
41.235,3214,3262526529,338741471,242,230,0.083500
74.584,3215,3262541529,338741471,821,809,0.016500
107.598,3216,3262535529,338741471,276,264,0.318500
141.109,3217,3262532529,338741471,186,174,0.178500
174.597,3218,3262538529,338741471,211,199,0.155500
207.974,3219,3262553529,338741471,864,852,0.044500
241.57,3220,3262547529,338741471,292,280,0.263500
274.593,3221,3262544529,338741471,209,197,0.309500
307.95,3222,3262550529,338741471,181,169,0.024500
341.379,3223,3262565529,338741471,940,928,0.096500
374.649,3224,3262559529,338741471,266,254,0.062500
408.01,3225,3262556529,338741471,225,213,0.028500
441.321,3226,3262562529,338741471,226,214,0.021500
474.598,3227,3262577529,338741471,1017,1005,0.055500
507.986,3228,3262571529,338741471,267,255,0.055500
541.352,3229,3262568529,338741471,217,205,0.033500
574.558,3230,3262574529,338741471,222,210,0.126500
607.608,3231,3262589529,338741471,924,912,0.282500
641.487,3232,3262583529,338741471,279,267,0.546500
674.527,3233,3262580529,338741471,232,220,0.292500
707.98,3234,3262586529,338741471,228,216,0.120500
741.351,3235,3262601529,338741471,917,905,0.038500
774.531,3236,3262595529,338741471,220,208,0.152500
807.945,3237,3262592529,338741471,179,167,0.081500
841.344,3238,3262598529,338741471,192,180,0.066500
874.467,3239,3262613529,338741471,849,837,0.209500
908.03,3240,3262607529,338741471,195,183,0.230500
941.293,3241,3262604529,338741471,156,144,0.069500
974.502,3242,3262610529,338741471,154,142,0.123500
1008.109,3243,3262625529,338741471,877,865,0.274500
1041.492,3244,3262619529,338741471,198,186,0.050500
1074.624,3245,3262616529,338741471,186,174,0.200500
1107.657,3246,3262622529,338741471,190,178,0.299500
1141.188,3247,3262637529,338741471,1048,1036,0.198500
1174.719,3248,3262631529,338741471,254,242,0.198500
1207.93,3249,3262628529,338741471,191,179,0.121500
1241.468,3250,3262634529,338741471,224,212,0.205500
1274.704,3251,3262649529,338741471,1005,993,0.096500
1308.081,3252,3262643529,338741471,264,252,0.044500
1341.446,3253,3262640529,338741471,214,202,0.032500
1374.584,3254,3262646529,338741471,167,155,0.194500
1407.772,3255,3262661529,338741471,1009,997,0.144500
1441.405,3256,3262655529,338741471,253,241,0.300500
1474.652,3257,3262652529,338741471,191,179,0.085500
1507.711,3258,3262658529,338741471,168,156,0.273500
1541.369,3259,3262673529,338741471,976,964,0.325500
1574.523,3260,3262667529,338741471,221,209,0.178500
1607.599,3261,3262664529,338741471,188,176,0.256500
1641.283,3262,3262670529,338741471,234,222,0.351500
1674.584,3263,3262685529,338741471,851,839,0.031500
1707.83,3264,3262679529,338741471,254,242,0.086500
1741.098,3265,3262676529,338741471,196,184,0.064500
1774.538,3266,3262682529,338741471,181,169,0.107500
1807.843,3267,3262697529,338741471,1003,991,0.027500
1841.224,3268,3262691529,338741471,230,218,0.048500
1874.483,3269,3262688529,338741471,166,154,0.073500
1907.846,3270,3262694529,338741471,173,161,0.030500
1941.226,3271,3262709529,338741471,913,901,0.047500
1974.469,3272,3262703529,338741471,222,210,0.089500
2007.852,3273,3262700529,338741471,196,184,0.050500
2041.265,3274,3262706529,338741471,204,192,0.080500
2074.538,3275,3262721529,338741471,872,860,0.059500
2107.651,3276,3262715529,338741471,270,258,0.219500
2140.983,3277,3262712529,338741471,194,182,0.000500
2174.334,3278,3262718529,338741471,205,193,0.018500
2207.87,3279,3262733529,338741471,803,791,0.203500
2241.167,3280,3262727529,338741471,254,242,0.035500
2274.592,3281,3262724529,338741471,199,187,0.092500
2307.966,3282,3262730529,338741471,195,183,0.041500
2341.268,3283,3262745529,338741471,827,815,0.030500
2374.653,3284,3262739529,338741471,255,243,0.052500
2407.802,3285,3262736529,338741471,186,174,0.183500
2441.355,3286,3262742529,338741471,200,188,0.220500
2474.518,3287,3262757529,338741471,962,950,0.169500
2507.949,3288,3262751529,338741471,240,228,0.098500
2541.419,3289,3262748529,338741471,245,233,0.137500
2574.446,3290,3262754529,338741471,203,191,0.305500
2607.766,3291,3262769529,338741471,792,780,0.012500
2641.491,3292,3262763529,338741471,274,262,0.392500
2674.73,3293,3262760529,338741471,212,200,0.093500
2707.908,3294,3262766529,338741471,196,184,0.154500
2741.414,3295,3262781529,338741471,930,918,0.173500
2774.633,3296,3262775529,338741471,212,200,0.113500
2807.944,3297,3262772529,338741471,250,238,0.021500
2841.329,3298,3262778529,338741471,185,173,0.052500
2874.354,3299,3262793529,338741471,837,825,0.307500
2907.89,3300,3262787529,338741471,238,226,0.203500
2941.247,3301,3262784529,338741471,193,181,0.024500
2974.588,3302,3262790529,338741471,183,171,0.008500
3007.721,3303,3262805529,338741471,914,902,0.199500
3041.364,3304,3262799529,338741471,251,239,0.310500
3074.765,3305,3262796529,338741471,180,168,0.068500
3107.877,3306,3262802529,338741471,188,176,0.220500
3141.092,3307,3262817529,338741471,955,943,0.117500
3174.457,3308,3262811529,338741471,266,254,0.032500
3207.798,3309,3262808529,338741471,190,178,0.008500
3241.115,3310,3262814529,338741471,222,210,0.015500
3274.501,3311,3262829529,338741471,844,832,0.053500
3307.793,3312,3262823529,338741471,248,236,0.040500
3341.11,3313,3262820529,338741471,236,224,0.015500
3374.455,3314,3262826529,338741471,210,198,0.012500
3407.842,3315,3262841529,338741471,916,904,0.054500
3441.187,3316,3262835529,338741471,285,273,0.012500
3474.356,3317,3262832529,338741471,257,245,0.163500
3507.895,3318,3262838529,338741471,219,207,0.206500
3541.212,3319,3262853529,338741471,889,877,0.015500
3574.404,3320,3262847529,338741471,264,252,0.140500
3607.708,3321,3262844529,338741471,257,245,0.028500
3641.17,3322,3262850529,338741471,235,223,0.129500
3674.504,3323,3262865529,338741471,961,949,0.001500
3707.79,3324,3262859529,338741471,340,328,0.046500
3741.268,3325,3262856529,338741471,248,236,0.145500
3774.339,3326,3262862529,338741471,197,185,0.261500
3807.811,3327,3262877529,338741471,1007,995,0.139500
3841.251,3328,3262871529,338741471,279,267,0.107500
3874.334,3329,3262868529,338741471,193,181,0.249500
3907.851,3330,3262874529,338741471,201,189,0.184500
3941.181,3331,3262889529,338741471,961,949,0.002500
3974.523,3332,3262883529,338741471,265,253,0.009500
4008.063,3333,3262880529,338741471,176,164,0.207500
4041.189,3334,3262886529,338741471,226,214,0.206500
4074.438,3335,3262901529,338741471,1113,1101,0.083500
4107.811,3336,3262895529,338741471,245,233,0.040500
4141.214,3337,3262892529,338741471,226,214,0.070500
4174.528,3338,3262898529,338741471,171,159,0.018500
4207.959,3339,3262913529,338741471,842,830,0.098500
4241.308,3340,3262907529,338741471,256,244,0.016500
4274.483,3341,3262904529,338741471,190,178,0.157500
4308.029,3342,3262910529,338741471,188,176,0.213500
4341.29,3343,3262925529,338741471,948,936,0.071500
4374.453,3344,3262919529,338741471,226,214,0.169500
4407.847,3345,3262916529,338741471,217,205,0.061500
4441.182,3346,3262922529,338741471,223,211,0.002500
4474.427,3347,3262937529,338741471,980,968,0.087500
4508.088,3348,3262931529,338741471,266,254,0.328500
4541.301,3349,3262928529,338741471,253,241,0.119500
4574.615,3350,3262934529,338741471,212,200,0.018500
4607.798,3351,3262949529,338741471,791,779,0.149500
4641.484,3352,3262943529,338741471,232,220,0.353500
4674.614,3353,3262940529,338741471,195,183,0.202500
4707.876,3354,3262946529,338741471,206,194,0.070500
4741.202,3355,3262961529,338741471,871,859,0.006500
4774.417,3356,3262955529,338741471,199,187,0.117500
4807.953,3357,3262952529,338741471,150,138,0.203500
4841.285,3358,3262958529,338741471,225,213,0.000500
4874.459,3359,3262973529,338741471,874,862,0.158500
4907.949,3360,3262967529,338741471,197,185,0.157500
4941.176,3361,3262964529,338741471,203,191,0.105500
4974.569,3362,3262970529,338741471,199,187,0.060500
5007.947,3363,3262985529,338741471,1016,1004,0.045500
5041.275,3364,3262979529,338741471,234,222,0.004500
5074.486,3365,3262976529,338741471,176,164,0.121500
5107.767,3366,3262982529,338741471,171,159,0.051500
5141.135,3367,3262997529,338741471,866,854,0.035500
5174.537,3368,3262991529,338741471,260,248,0.069500
5207.952,3369,3262988529,338741471,215,203,0.082500
5241.308,3370,3262994529,338741471,193,181,0.023500
5274.68,3371,3263009529,338741471,928,916,0.039500
5307.796,3372,3263003529,338741471,248,236,0.216500
5341.453,3373,3263000529,338741471,216,204,0.324500
5374.35,3374,3263006529,338741471,206,194,0.435500
5407.801,3375,3263021529,338741471,850,838,0.118500
5441.411,3376,3263015529,338741471,275,263,0.277500
5474.567,3377,3263012529,338741471,222,210,0.176500
5508.109,3378,3263018529,338741471,222,210,0.209500
5541.3,3379,3263033529,338741471,981,969,0.141500
5574.475,3380,3263027529,338741471,261,249,0.157500
5607.978,3381,3263024529,338741471,261,249,0.170500
5641.412,3382,3263030529,338741471,232,220,0.101500
5674.568,3383,3263045529,338741471,882,870,0.176500
5707.96,3384,3263039529,338741471,241,229,0.059500
5741.358,3385,3263036529,338741471,177,165,0.065500
5774.479,3386,3263042529,338741471,221,209,0.211500
5807.982,3387,3263057529,338741471,881,869,0.170500
5841.303,3388,3263051529,338741471,208,196,0.011500
5874.656,3389,3263048529,338741471,178,166,0.020500
5907.938,3390,3263054529,338741471,251,239,0.050500
5941.442,3391,3263069529,338741471,978,966,0.171500
5974.606,3392,3263063529,338741471,263,251,0.168500
6007.905,3393,3263060529,338741471,209,197,0.033500
6041.265,3394,3263066529,338741471,243,231,0.027500
6074.65,3395,3263081529,338741471,902,890,0.052500
6108.042,3396,3263075529,338741471,244,232,0.059500
6141.213,3397,3263072529,338741471,181,169,0.161500
6174.644,3398,3263078529,338741471,174,162,0.098500
6208.045,3399,3263093529,338741471,900,888,0.068500
6241.359,3400,3263087529,338741471,269,257,0.018500
6274.811,3401,3263084529,338741471,206,194,0.119500
6308.032,3402,3263090529,338741471,239,227,0.111500
6341.513,3403,3263105529,338741471,930,918,0.148500
6374.494,3404,3263099529,338741471,261,249,0.351500
6408.205,3405,3263096529,338741471,220,208,0.378500
6441.262,3406,3263102529,338741471,241,229,0.275500
6474.732,3407,3263117529,338741471,977,965,0.137500
6507.986,3408,3263111529,338741471,258,246,0.078500
6541.229,3409,3263108529,338741471,223,211,0.089500
6574.712,3410,3263114529,338741471,234,222,0.150500
6608.064,3411,3263129529,338741471,890,878,0.019500
6641.431,3412,3263123529,338741471,285,273,0.034500
6674.658,3413,3263120529,338741471,206,194,0.105500
6707.65,3414,3263126529,338741471,208,196,0.340500
6741.275,3415,3263141529,338741471,824,812,0.292500
6774.277,3416,3263135529,338741471,193,181,0.330500
6807.507,3417,3263132529,338741471,206,194,0.102500
6840.972,3418,3263138529,338741471,217,205,0.132500
6874.316,3419,3263153529,338741471,889,877,0.011500
6907.595,3420,3263147529,338741471,233,221,0.053500
6941.31,3421,3263144529,338741471,191,179,0.382500
6974.613,3422,3263150529,338741471,209,197,0.029500
7008.163,3423,3263156529,338741471,359,347,0.217500
7041.363,3424,3263159529,338741471,1200,1188,0.132500
7041.469,3425,3263159529,338741471,1200,1188,33.226500
7041.492,3426,3263159529,338741471,1200,1188,33.309500
7041.533,3427,3263159529,338741471,1200,1188,33.291500
7041.549,3428,3263159529,338741471,1200,1188,33.316500
7041.565,3429,3263159529,338741471,1200,1188,33.316500
7041.587,3430,3263159529,338741471,864,852,33.310500
7074.581,3431,3263171529,338741471,806,794,0.338500
7108.043,3432,3263165529,338741471,177,165,0.129500
7141.206,3433,3263162529,338741471,154,142,0.169500
7174.49,3434,3263168529,338741471,184,172,0.048500
7208.084,3435,3263183529,338741471,812,800,0.261500
7241.384,3436,3263177529,338741471,208,196,0.032500
7274.632,3437,3263174529,338741471,237,225,0.084500
7307.952,3438,3263180529,338741471,191,179,0.012500
7341.353,3439,3263195529,338741471,863,851,0.068500
7374.331,3440,3263189529,338741471,215,203,0.354500
7408.186,3441,3263186529,338741471,232,220,0.522500
7441.263,3442,3263192529,338741471,223,211,0.255500
7474.711,3443,3263207529,338741471,907,895,0.115500
7508.187,3444,3263201529,338741471,234,222,0.143500
7541.441,3445,3263198529,338741471,183,171,0.078500
7574.52,3446,3263204529,338741471,155,143,0.253500
7607.927,3447,3263219529,338741471,822,810,0.074500
7641.578,3448,3263213529,338741471,219,207,0.318500
7674.607,3449,3263210529,338741471,179,167,0.303500
7708.045,3450,3263216529,338741471,159,147,0.105500
7741.449,3451,3263231529,338741471,898,886,0.071500
7774.761,3452,3263225529,338741471,194,182,0.020500
7808.183,3453,3263222529,338741471,148,136,0.089500
7841.398,3454,3263228529,338741471,193,181,0.117500
7874.582,3455,3263243529,338741471,956,944,0.148500
7907.968,3456,3263237529,338741471,243,231,0.053500
7941.511,3457,3263234529,338741471,170,158,0.210500
7974.6,3458,3263240529,338741471,176,164,0.243500
8008.198,3459,3263255529,338741471,918,906,0.265500
8041.27,3460,3263249529,338741471,253,241,0.260500
8074.785,3461,3263246529,338741471,188,176,0.182500
8107.972,3462,3263252529,338741471,258,246,0.145500
8141.093,3463,3263267529,338741471,995,983,0.211500
8174.704,3464,3263261529,338741471,255,243,0.278500
8208.023,3465,3263258529,338741471,213,201,0.013500
8241.463,3466,3263264529,338741471,259,247,0.107500
8274.606,3467,3263279529,338741471,892,880,0.189500
8308.068,3468,3263273529,338741471,259,247,0.129500
8341.406,3469,3263270529,338741471,218,206,0.005500
8374.5,3470,3263276529,338741471,214,202,0.238500
8407.873,3471,3263291529,338741471,843,831,0.040500
8441.317,3472,3263285529,338741471,279,267,0.111500
8474.662,3473,3263282529,338741471,226,214,0.012500
8507.984,3474,3263288529,338741471,233,221,0.010500
8541.599,3475,3263303529,338741471,863,851,0.282500
8574.737,3476,3263297529,338741471,323,311,0.194500
8607.916,3477,3263294529,338741471,192,180,0.153500
8641.504,3478,3263300529,338741471,198,186,0.255500
8674.486,3479,3263315529,338741471,896,884,0.350500
8708.061,3480,3263309529,338741471,297,285,0.242500
8741.154,3481,3263306529,338741471,257,245,0.239500
8774.69,3482,3263312529,338741471,257,245,0.203500
8808.022,3483,3263327529,338741471,952,940,0.000500
8841.299,3484,3263321529,338741471,259,247,0.055500
8874.569,3485,3263318529,338741471,207,195,0.062500
8908.044,3486,3263324529,338741471,237,225,0.142500
8941.409,3487,3263339529,338741471,896,884,0.032500
8974.606,3488,3263333529,338741471,268,256,0.135500
9008.137,3489,3263330529,338741471,237,225,0.198500
9041.244,3490,3263336529,338741471,205,193,0.225500
9074.729,3491,3263351529,338741471,970,958,0.152500
9107.944,3492,3263345529,338741471,253,241,0.117500
9141.221,3493,3263342529,338741471,213,201,0.055500
9174.719,3494,3263348529,338741471,208,196,0.165500
9207.92,3495,3263363529,338741471,911,899,0.131500
9241.538,3496,3263357529,338741471,216,204,0.285500
9274.696,3497,3263354529,338741471,187,175,0.174500
9308.052,3498,3263360529,338741471,233,221,0.023500
9341.296,3499,3263375529,338741471,915,903,0.088500
9374.679,3500,3263369529,338741471,232,220,0.050500
9408.0,3501,3263366529,338741471,205,193,0.011500
9441.234,3502,3263372529,338741471,225,213,0.098500
9474.626,3503,3263387529,338741471,991,979,0.059500
9507.985,3504,3263381529,338741471,240,228,0.026500
9541.324,3505,3263378529,338741471,218,206,0.006500
9574.64,3506,3263384529,338741471,171,159,0.016500
9607.961,3507,3263399529,338741471,945,933,0.011500
9641.294,3508,3263393529,338741471,226,214,0.000500
9674.746,3509,3263390529,338741471,171,159,0.119500
9707.93,3510,3263396529,338741471,196,184,0.148500
9741.218,3511,3263411529,338741471,879,867,0.044500
9774.667,3512,3263405529,338741471,215,203,0.116500
9807.962,3513,3263402529,338741471,177,165,0.037500
