arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
5.503,790,4141334054,65471207,819,807,0.0
5.594,791,4141334054,65471207,1244,1232,0.090114
5.664,792,4141334054,65471207,1326,1314,0.07019
35.063,793,4141337054,65471207,844,832,3.933986
35.137,794,4141337054,65471207,1133,1121,0.073795
35.194,795,4141337054,65471207,1309,1297,0.056698
69.233,796,4141340054,65471207,830,818,0.706105
69.311,797,4141340054,65471207,1206,1194,0.078347
69.331,798,4141340054,65471207,1345,1333,0.019802
102.367,799,4141343054,65471207,907,895,0.297232
102.443,800,4141343054,65471207,1256,1244,0.075585
102.466,801,4141343054,65471207,1460,1448,0.02276
136.72,802,4141346054,65471207,853,841,0.921176
136.795,803,4141346054,65471207,1184,1172,0.074441
136.816,804,4141346054,65471207,1353,1341,0.020993
168.757,805,4141349054,65471207,884,872,1.392402
168.832,806,4141349054,65471207,1140,1128,0.075244
168.858,807,4141349054,65471207,1348,1336,0.02653
201.86,808,4141352054,65471207,929,917,0.331425
201.943,809,4141352054,65471207,1149,1137,0.083263
201.969,810,4141352054,65471207,1330,1318,0.025975
235.75,811,4141355054,65471207,1016,1004,0.447587
235.851,812,4141355054,65471207,1329,1317,0.100263
235.882,813,4141355054,65471207,1457,1445,0.031009
269.338,814,4141358054,65471207,899,887,0.123062
269.407,815,4141358054,65471207,1221,1209,0.068553
269.448,816,4141358054,65471207,1306,1294,0.041108
301.524,817,4141361054,65471207,915,903,1.256961
301.607,818,4141361054,65471207,1100,1088,0.082835
301.646,819,4141361054,65471207,1287,1275,0.039035
334.877,820,4141364054,65471207,866,854,0.102068
334.941,821,4141364054,65471207,1280,1268,0.06368
334.964,822,4141364054,65471207,1269,1257,0.023506
368.598,823,4141367054,65471207,973,961,0.300515
368.68,824,4141367054,65471207,1291,1279,0.081807
368.701,825,4141367054,65471207,1421,1409,0.020852
402.316,826,4141370054,65471207,913,901,0.281438
402.385,827,4141370054,65471207,1242,1230,0.069246
402.404,828,4141370054,65471207,1318,1306,0.019228
435.61,829,4141373054,65471207,943,931,0.127685
435.703,830,4141373054,65471207,1185,1173,0.093108
435.732,831,4141373054,65471207,1356,1344,0.028622
468.475,832,4141376054,65471207,867,855,0.590196
468.568,833,4141376054,65471207,1167,1155,0.093215
468.597,834,4141376054,65471207,1288,1276,0.029492
501.78,835,4141379054,65471207,1013,1001,0.150733
501.87,836,4141379054,65471207,1301,1289,0.089809
501.896,837,4141379054,65471207,1343,1331,0.026071
536.484,838,4141382054,65471207,858,846,1.255279
536.552,839,4141382054,65471207,1307,1295,0.067655
536.596,840,4141382054,65471207,1314,1302,0.043997
568.742,841,4141385054,65471207,913,901,1.187392
568.842,842,4141385054,65471207,1281,1269,0.100318
568.867,843,4141385054,65471207,1220,1208,0.024282
602.214,844,4141388054,65471207,901,889,0.014349
602.308,845,4141388054,65471207,1257,1245,0.093311
602.331,846,4141388054,65471207,1223,1211,0.023865
636.099,847,4141391054,65471207,1022,1010,0.434262
636.17,848,4141391054,65471207,1376,1364,0.070661
636.193,849,4141391054,65471207,1341,1329,0.023749
669.847,850,4141394054,65471207,901,889,0.320635
669.914,851,4141394054,65471207,1399,1387,0.067037
669.936,852,4141394054,65471207,1201,1189,0.021682
703.792,853,4141397054,65471207,919,907,0.522446
703.876,854,4141397054,65471207,1258,1246,0.0845
703.899,855,4141397054,65471207,1165,1153,0.022733
736.186,856,4141400054,65471207,924,912,1.046619
736.27,857,4141400054,65471207,1369,1357,0.083777
736.312,858,4141400054,65471207,1108,1096,0.042225
768.965,859,4141403054,65471207,950,938,0.680599
769.066,860,4141403054,65471207,1357,1345,0.101222
769.094,861,4141403054,65471207,1301,1289,0.028025
802.836,862,4141406054,65471207,893,881,0.408915
802.923,863,4141406054,65471207,1304,1292,0.086548
802.949,864,4141406054,65471207,1175,1163,0.026341
836.207,865,4141409054,65471207,836,824,0.075064
836.293,866,4141409054,65471207,1032,1020,0.085868
836.319,867,4141409054,65471207,1029,1017,0.025445
868.458,868,4141412054,65471207,814,802,1.194275
868.525,869,4141412054,65471207,1088,1076,0.067259
868.548,870,4141412054,65471207,1007,995,0.022655
901.929,871,4141415054,65471207,904,892,0.048167
902.018,872,4141415054,65471207,1193,1181,0.088812
902.049,873,4141415054,65471207,1149,1137,0.030656
935.636,874,4141418054,65471207,873,861,0.254538
935.704,875,4141418054,65471207,1279,1267,0.067402
935.744,876,4141418054,65471207,1249,1237,0.039686
