arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes
1057.918615,3866,2821926332,3269714931,1472,1460
1061.363164,3881,2821974332,3269714931,951,939
1061.384777,3876,2821947332,3269714931,203,191
1061.395362,3875,2821941332,3269714931,143,131
1061.816431,3874,2821944332,3269714931,218,206
1061.853226,3872,2821935332,3269714931,186,174
1062.758324,3883,2821965332,3269714931,167,155
1063.061222,3882,2821968332,3269714931,231,219
1063.155103,3869,2821938332,3269714931,896,884
1065.902705,3867,2821926332,3269714931,1472,1460
1068.170795,3879,2821953332,3269714931,192,180
1068.255822,3884,2821971332,3269714931,141,129
1068.906858,3880,2821959332,3269714931,198,186
1068.928955,3870,2821932332,3269714931,200,188
1069.010852,3871,2821929332,3269714931,141,129
1069.143519,3885,2821986332,3269714931,930,918
1069.691796,3863,2821926332,3269714931,698,686
1070.214103,3873,2821950332,3269714931,844,832
1070.251554,3865,2821926332,3269714931,1472,1460
1070.478964,3864,2821926332,3269714931,1472,1460
1074.319104,3878,2821956332,3269714931,219,207
1075.02426,3877,2821962332,3269714931,933,921
1078.390849,3868,2821926332,3269714931,1143,1131
1105.40399,3886,2821980332,3269714931,165,153
1134.597959,3887,2821977332,3269714931,194,182
1171.548248,3888,2821983332,3269714931,196,184
1202.265414,3889,2821998332,3269714931,931,919
1247.487065,3890,2821992332,3269714931,214,202
1274.886495,3891,2821989332,3269714931,168,156
1299.291386,3892,2821995332,3269714931,173,161
1333.345721,3893,2822010332,3269714931,919,907
1367.694031,3894,2822004332,3269714931,215,203
1395.473731,3895,2822001332,3269714931,175,163
1432.844343,3896,2822007332,3269714931,192,180
1468.099386,3897,2822022332,3269714931,836,824
1501.805507,3898,2822016332,3269714931,282,270
1532.989265,3899,2822013332,3269714931,191,179
1561.510234,3900,2822019332,3269714931,217,205
1612.269026,3901,2822034332,3269714931,999,987
1633.644348,3902,2822028332,3269714931,214,202
1663.984287,3903,2822025332,3269714931,179,167
1701.687793,3904,2822031332,3269714931,179,167
1735.734271,3905,2822046332,3269714931,980,968
1764.600572,3906,2822040332,3269714931,246,234
1801.148774,3907,2822037332,3269714931,193,181
1837.539771,3908,2822043332,3269714931,242,230
1877.073973,3909,2822058332,3269714931,821,809
1903.295974,3910,2822052332,3269714931,276,264
