arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
3.73,3310,119308336,1071141029,819,807,0.0
3.788,3311,119308336,1071141029,1244,1232,0.057645
3.835,3312,119308336,1071141029,1326,1314,0.047263
35.866,3313,119311336,1071141029,844,832,1.302172
35.935,3314,119311336,1071141029,1133,1121,0.069083
35.985,3315,119311336,1071141029,1309,1297,0.049828
68.72,3316,119314336,1071141029,830,818,0.598174
68.783,3317,119314336,1071141029,1206,1194,0.063117
68.848,3318,119314336,1071141029,1345,1333,0.064174
101.45,3319,119317336,1071141029,907,895,0.731006
101.546,3320,119317336,1071141029,1256,1244,0.096417
101.572,3321,119317336,1071141029,1460,1448,0.025647
134.988,3322,119320336,1071141029,853,841,0.082517
135.05,3323,119320336,1071141029,1184,1172,0.062535
135.061,3324,119320336,1071141029,1353,1341,0.010619
168.873,3325,119323336,1071141029,884,872,0.478749
168.955,3326,119323336,1071141029,1140,1128,0.081656
168.984,3327,119323336,1071141029,1348,1336,0.029067
202.778,3328,119326336,1071141029,929,917,0.460595
202.868,3329,119326336,1071141029,1149,1137,0.090582
202.896,3330,119326336,1071141029,1330,1318,0.027416
234.502,3331,119329336,1071141029,1016,1004,1.727537
234.605,3332,119329336,1071141029,1329,1317,0.103694
234.63,3333,119329336,1071141029,1457,1445,0.024552
268.902,3334,119332336,1071141029,899,887,0.939348
268.965,3335,119332336,1071141029,1221,1209,0.062824
269.004,3336,119332336,1071141029,1306,1294,0.03883
303.725,3337,119335336,1071141029,915,903,1.387435
303.791,3338,119335336,1071141029,1100,1088,0.06631
303.846,3339,119335336,1071141029,1287,1275,0.054927
335.32,3340,119338336,1071141029,866,854,1.859506
335.384,3341,119338336,1071141029,1280,1268,0.064453
335.421,3342,119338336,1071141029,1269,1257,0.036526
369.059,3343,119341336,1071141029,973,961,0.304959
369.144,3344,119341336,1071141029,1291,1279,0.084725
369.163,3345,119341336,1071141029,1421,1409,0.019542
402.407,3346,119344336,1071141029,913,901,0.089578
402.476,3347,119344336,1071141029,1242,1230,0.068332
402.495,3348,119344336,1071141029,1318,1306,0.019784
435.677,3349,119347336,1071141029,943,931,0.152128
435.751,3350,119347336,1071141029,1185,1173,0.074565
435.769,3351,119347336,1071141029,1356,1344,0.01832
468.731,3352,119350336,1071141029,867,855,0.371425
468.817,3353,119350336,1071141029,1167,1155,0.085426
468.843,3354,119350336,1071141029,1288,1276,0.026301
503.802,3355,119353336,1071141029,1013,1001,1.625446
503.885,3356,119353336,1071141029,1301,1289,0.08304
503.91,3357,119353336,1071141029,1343,1331,0.024827
535.434,3358,119356336,1071141029,858,846,1.80876
535.522,3359,119356336,1071141029,1307,1295,0.087883
535.563,3360,119356336,1071141029,1314,1302,0.040682
