arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
1.104,995,348418937,777926654,980,968,0.0
34.558,996,348412937,777926654,246,234,47721758.723817
67.511,997,348409937,777926654,193,181,47721792.558348
101.137,998,348415937,777926654,242,230,33.040912
134.356,999,348430937,777926654,821,809,133.447404
167.814,1000,348424937,777926654,276,264,47721758.719902
201.311,1001,348421937,777926654,186,174,47721792.013735
234.621,1002,348427937,777926654,211,199,33.357382
267.816,1003,348442937,777926654,864,852,133.471028
301.049,1004,348436937,777926654,292,280,47721758.945025
334.327,1005,348433937,777926654,209,197,47721792.233152
367.676,1006,348439937,777926654,181,169,33.317404
401.044,1007,348454937,777926654,940,928,133.29881
434.446,1008,348448937,777926654,266,254,47721758.775896
467.82,1009,348445937,777926654,225,213,47721792.137422
501.267,1010,348451937,777926654,226,214,33.219472
534.539,1011,348466937,777926654,1017,1005,133.39457
567.826,1012,348460937,777926654,267,255,47721758.891209
601.127,1013,348457937,777926654,217,205,47721792.209697
634.333,1014,348463937,777926654,222,210,33.460156
668.102,1015,348478937,777926654,924,912,132.897797
701.105,1016,348472937,777926654,279,267,47721759.175445
734.561,1017,348469937,777926654,232,220,47721792.05479
767.988,1018,348475937,777926654,228,216,33.239442
801.317,1019,348490937,777926654,917,905,133.33818
834.573,1020,348484937,777926654,220,208,47721758.921889
867.632,1021,348481937,777926654,179,167,47721792.45209
901.304,1022,348487937,777926654,192,180,32.994715
934.312,1023,348502937,777926654,849,837,133.658261
967.894,1024,348496937,777926654,195,183,47721758.595388
1001.264,1025,348493937,777926654,156,144,47721792.141481
1034.587,1026,348499937,777926654,154,142,33.343451
1067.677,1027,348514937,777926654,877,865,133.57673
1101.069,1028,348508937,777926654,198,186,47721758.786266
1134.447,1029,348505937,777926654,186,174,47721792.132486
1167.567,1030,348511937,777926654,190,178,33.54698
1201.44,1031,348526937,777926654,1048,1036,132.793963
1234.231,1032,348520937,777926654,254,242,47721759.386915
1267.922,1033,348517937,777926654,191,179,47721791.819455
1301.032,1034,348523937,777926654,224,212,33.557091
1334.214,1035,348538937,777926654,1005,993,133.484803
1367.643,1036,348532937,777926654,264,252,47721758.748532
1401.127,1037,348529937,777926654,214,202,47721792.02671
1434.44,1038,348535937,777926654,167,155,33.353632
1467.588,1039,348550937,777926654,1009,997,133.518923
1501.258,1040,348544937,777926654,253,241,47721758.508041
1535.358,1041,348541937,777926654,191,179,47721791.411151
1567.797,1042,348547937,777926654,168,156,34.22724
1604.175,1043,348562937,777926654,976,964,130.289276
1633.737,1044,348556937,777926654,221,209,47721762.615515
1667.092,1045,348553937,777926654,188,176,47721792.156107
1700.402,1046,348559937,777926654,234,222,33.356054
1733.779,1047,348574937,777926654,851,839,133.29024
1767.095,1048,348568937,777926654,254,242,47721758.862088
1800.441,1049,348565937,777926654,196,184,47721792.16464
1833.774,1050,348571937,777926654,181,169,33.33396
1867.096,1051,348586937,777926654,1003,991,133.344292
1902.671,1052,348580937,777926654,230,218,47721756.603047
1933.749,1053,348577937,777926654,166,154,47721794.433419
1967.138,1054,348583937,777926654,173,161,33.277439
2000.422,1055,348598937,777926654,913,901,133.38276
2033.782,1056,348592937,777926654,222,210,47721758.817478
2069.44,1057,348589937,777926654,196,184,47721789.853059
2100.452,1058,348595937,777926654,204,192,35.654624
2133.753,1059,348610937,777926654,872,860,133.366201
2167.073,1060,348604937,777926654,270,258,47721758.857752
2200.555,1061,348601937,777926654,194,182,47721792.028824
2233.867,1062,348607937,777926654,205,193,33.354979
2267.603,1063,348622937,777926654,803,791,132.9304
2300.886,1064,348616937,777926654,254,242,47721758.894734
2334.332,1065,348613937,777926654,199,187,47721792.064648
2367.735,1066,348619937,777926654,195,183,33.263705
2401.154,1067,348634937,777926654,827,815,133.248245
2434.489,1068,348628937,777926654,255,243,47721758.842652
2467.588,1069,348625937,777926654,186,174,47721792.411468
2501.062,1070,348631937,777926654,200,188,33.193355
2534.194,1071,348646937,777926654,962,950,133.534205
2567.671,1072,348640937,777926654,240,228,47721758.700914
2601.085,1073,348637937,777926654,245,233,47721792.097744
2634.544,1074,348643937,777926654,203,191,33.207438
2667.66,1075,348658937,777926654,792,780,133.550621
2700.911,1076,348652937,777926654,274,262,47721758.926265
2734.405,1077,348649937,777926654,212,200,47721792.017686
2767.787,1078,348655937,777926654,196,184,33.284639
2801.053,1079,348670937,777926654,930,918,133.400015
2834.307,1080,348664937,777926654,212,200,47721758.924669
2867.472,1081,348661937,777926654,250,238,47721792.34521
