arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
0.484,4073,2880203444,1708145327,980,968,0.0
49.312,4074,2880197444,1708145327,246,234,47721743.350348
71.569,4075,2880194444,1708145327,193,181,47721803.253981
104.376,4076,2880200444,1708145327,242,230,33.859682
149.349,4077,2880215444,1708145327,821,809,121.693475
153.132,4078,2880209444,1708145327,276,264,47721788.394516
211.803,4079,2880206444,1708145327,186,174,47721766.840244
226.252,4080,2880212444,1708145327,211,199,52.217813
257.079,4081,2880227444,1708145327,864,852,135.839939
295.857,4082,2880221444,1708145327,292,280,47721753.399365
329.582,4083,2880218444,1708145327,209,197,47721791.78597
368.386,4084,2880224444,1708145327,181,169,27.862946
409.812,4085,2880239444,1708145327,940,928,125.24025
424.534,4086,2880233444,1708145327,266,254,47721777.456316
462.54,4087,2880230444,1708145327,225,213,47721787.504976
500.937,4088,2880236444,1708145327,226,214,28.269484
513.242,4089,2880251444,1708145327,1017,1005,154.361729
564.015,4090,2880245444,1708145327,267,255,47721741.405004
611.513,4091,2880242444,1708145327,217,205,47721778.012955
639.329,4092,2880248444,1708145327,222,210,38.85014
668.075,4093,2880263444,1708145327,924,912,137.920818
678.467,4094,2880257444,1708145327,279,267,47721781.78572
710.297,4095,2880254444,1708145327,232,220,47721793.681117
764.355,4096,2880260444,1708145327,228,216,12.609235
803.605,4097,2880275444,1708145327,917,905,127.416415
844.69,4098,2880269444,1708145327,220,208,47721751.092488
866.222,4099,2880266444,1708145327,179,167,47721803.979403
902.937,4101,2880287444,1708145327,849,837,196.618134
911.95,4100,2880272444,1708145327,192,180,47721683.164682
960.864,4102,2880281444,1708145327,195,183,51.086429
1006.567,4103,2880278444,1708145327,156,144,47721779.808464
1039.505,4104,2880284444,1708145327,154,142,33.728138
1060.13,4105,2880299444,1708145327,877,865,146.041509
1088.715,4106,2880293444,1708145327,198,186,47721763.593348
1125.03,4107,2880290444,1708145327,186,174,47721789.195554
1182.602,4109,2880311444,1708145327,1048,1036,175.76144
