arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
22.557,3235,945661239,313918277,1244,1232,0.0
24.935,3234,945661239,313918277,819,807,2.377281
26.903,3236,945661239,313918277,1326,1314,1.968068
57.203,3237,945664239,313918277,844,832,3.033393
57.29,3239,945664239,313918277,1309,1297,0.087258
61.52,3238,945664239,313918277,1133,1121,4.229897
84.259,3241,945667239,313918277,1206,1194,10.594543
87.058,3242,945667239,313918277,1345,1333,2.799098
91.114,3240,945667239,313918277,830,818,4.055815
119.167,3245,945670239,313918277,1460,1448,5.279992
125.522,3244,945670239,313918277,1256,1244,6.355221
126.902,3243,945670239,313918277,907,895,1.379749
158.698,3246,945673239,313918277,853,841,1.537538
160.007,3247,945673239,313918277,1184,1172,1.309005
163.088,3248,945673239,313918277,1353,1341,3.080906
186.838,3250,945676239,313918277,1140,1128,9.582421
187.255,3251,945676239,313918277,1348,1336,0.416246
191.103,3249,945676239,313918277,884,872,3.848361
222.261,3254,945679239,313918277,1330,1318,2.1757
224.123,3252,945679239,313918277,929,917,1.861896
224.573,3253,945679239,313918277,1149,1137,0.450346
257.175,3255,945682239,313918277,1016,1004,0.730953
258.269,3257,945682239,313918277,1457,1445,1.093278
263.571,3256,945682239,313918277,1329,1317,5.302099
291.091,3259,945685239,313918277,1221,1209,5.813483
292.853,3258,945685239,313918277,899,887,1.762685
295.572,3260,945685239,313918277,1306,1294,2.718878
318.304,3262,945688239,313918277,1100,1088,10.601863
324.858,3263,945688239,313918277,1287,1275,6.55407
329.559,3261,945688239,313918277,915,903,4.701747
353.511,3265,945691239,313918277,1280,1268,9.381963
360.311,3266,945691239,313918277,1269,1257,6.80039
360.412,3264,945691239,313918277,866,854,0.100588
380.818,3267,945694239,313918277,973,961,12.926574
380.899,3269,945694239,313918277,1421,1409,0.080337
387.526,3268,945694239,313918277,1291,1279,6.627472
420.801,3270,945697239,313918277,913,901,0.058366
422.323,3272,945697239,313918277,1318,1306,1.521555
427.645,3271,945697239,313918277,1242,1230,5.322098
457.265,3275,945700239,313918277,1356,1344,3.71346
459.736,3273,945700239,313918277,943,931,2.470844
461.296,3274,945700239,313918277,1185,1173,1.560319
486.466,3277,945703239,313918277,1167,1155,8.162974
494.903,3278,945703239,313918277,1288,1276,8.437056
495.165,3276,945703239,313918277,867,855,0.261197
518.341,3279,945706239,313918277,1013,1001,10.15645
521.881,3281,945706239,313918277,1343,1331,3.539354
528.185,3280,945706239,313918277,1301,1289,6.304689
554.609,3284,945709239,313918277,1314,1302,6.90985
561.701,3282,945709239,313918277,858,846,7.091649
563.074,3283,945709239,313918277,1307,1295,1.373191
583.918,3285,945712239,313918277,913,901,12.489412
592.319,3287,945712239,313918277,1220,1208,8.401423
594.417,3286,945712239,313918277,1281,1269,2.097636
618.01,3289,945715239,313918277,1257,1245,9.73973
621.094,3290,945715239,313918277,1223,1211,3.083693
631.487,3288,945715239,313918277,901,889,10.392522
648.157,3291,945718239,313918277,1022,1010,16.662915
649.286,3293,945718239,313918277,1341,1329,1.1285
654.803,3292,945718239,313918277,1376,1364,5.517605
687.262,3294,945721239,313918277,901,889,0.874493
690.484,3296,945721239,313918277,1201,1189,3.222181
696.495,3295,945721239,313918277,1399,1387,6.010857
713.868,3298,945724239,313918277,1258,1246,15.960636
724.849,3299,945724239,313918277,1165,1153,10.98152
729.039,3297,945724239,313918277,919,907,4.18971
745.814,3301,945727239,313918277,1369,1357,16.557889
759.543,3300,945727239,313918277,924,912,13.728142
763.431,3302,945727239,313918277,1108,1096,3.888962
786.82,3303,945730239,313918277,950,938,9.944665
790.008,3304,945730239,313918277,1357,1345,3.187517
792.677,3305,945730239,313918277,1301,1289,2.669262
825.502,3306,945733239,313918277,893,881,0.508603
830.488,3307,945733239,313918277,1304,1292,4.986091
831.787,3308,945733239,313918277,1175,1163,1.299237
858.618,3311,945736239,313918277,1029,1017,6.502129
861.455,3310,945736239,313918277,1032,1020,2.836939
862.315,3309,945736239,313918277,836,824,0.859619
886.286,3314,945739239,313918277,1007,995,9.362204
889.964,3312,945739239,313918277,814,802,3.677774
893.724,3313,945739239,313918277,1088,1076,3.760757
918.002,3315,945742239,313918277,904,892,9.055734
922.352,3317,945742239,313918277,1149,1137,4.349749
926.141,3316,945742239,313918277,1193,1181,3.789419
949.695,3320,945745239,313918277,1249,1237,9.779149
955.301,3319,945745239,313918277,1279,1267,5.605789
965.334,3318,945745239,313918277,873,861,10.032439
977.284,3322,945748239,313918277,1263,1251,21.383148
991.997,3323,945748239,313918277,1255,1243,14.713109
993.294,3321,945748239,313918277,833,821,1.297038
1019.643,3326,945751239,313918277,1171,1159,6.984616
1023.281,3324,945751239,313918277,819,807,3.638491
1023.913,3325,945751239,313918277,1189,1177,0.631982
1051.745,3327,945754239,313918277,881,869,5.501863
1052.924,3328,945754239,313918277,1339,1327,1.17914
1068.863,3329,945754239,313918277,1308,1296,15.939354
1084.728,3331,945757239,313918277,1211,1199,17.468892
1100.423,3332,945757239,313918277,1197,1185,15.695028
1104.797,3330,945757239,313918277,833,821,4.373975
1129.393,3333,945760239,313918277,751,739,8.736427
1133.178,3335,945760239,313918277,1197,1185,3.784648
1133.53,3334,945760239,313918277,1147,1135,0.351992
1158.393,3336,945763239,313918277,782,770,8.47082
1158.869,3337,945763239,313918277,1312,1300,0.475962
1160.676,3338,945763239,313918277,1161,1149,1.807923
1181.352,3339,945766239,313918277,824,812,12.658139
1192.055,3340,945766239,313918277,1322,1310,10.703611
1194.82,3341,945766239,313918277,1259,1247,2.764237
1221.097,3342,945769239,313918277,784,772,7.055609
1224.496,3343,945769239,313918277,1252,1240,3.398401
