arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
30.341,1823,2840719976,3603108284,819,807,0.0
30.405,1824,2840719976,3603108284,1244,1232,0.064357
30.457,1825,2840719976,3603108284,1326,1314,0.051894
62.809,1826,2840722976,3603108284,844,832,0.981139
62.878,1827,2840722976,3603108284,1133,1121,0.069137
62.93,1828,2840722976,3603108284,1309,1297,0.051678
95.971,1829,2840725976,3603108284,830,818,0.29198
96.064,1830,2840725976,3603108284,1206,1194,0.092981
96.088,1831,2840725976,3603108284,1345,1333,0.024098
129.686,1832,2840728976,3603108284,907,895,0.264401
129.775,1833,2840728976,3603108284,1256,1244,0.089017
129.797,1834,2840728976,3603108284,1460,1448,0.021634
162.266,1835,2840731976,3603108284,853,841,0.8638
162.363,1836,2840731976,3603108284,1184,1172,0.096669
162.385,1837,2840731976,3603108284,1353,1341,0.02217
195.309,1838,2840734976,3603108284,884,872,0.40941
195.404,1839,2840734976,3603108284,1140,1128,0.094468
195.445,1840,2840734976,3603108284,1348,1336,0.041519
228.888,1841,2840737976,3603108284,929,917,0.109667
228.999,1842,2840737976,3603108284,1149,1137,0.110515
229.027,1843,2840737976,3603108284,1330,1318,0.028149
263.196,1844,2840740976,3603108284,1016,1004,0.835992
263.319,1845,2840740976,3603108284,1329,1317,0.123158
263.349,1846,2840740976,3603108284,1457,1445,0.029723
296.405,1847,2840743976,3603108284,899,887,0.277126
296.494,1848,2840743976,3603108284,1221,1209,0.088469
296.546,1849,2840743976,3603108284,1306,1294,0.052182
329.879,1850,2840746976,3603108284,915,903,0.000437
329.943,1851,2840746976,3603108284,1100,1088,0.064182
329.98,1852,2840746976,3603108284,1287,1275,0.036678
362.653,1853,2840749976,3603108284,866,854,0.660139
362.738,1854,2840749976,3603108284,1280,1268,0.084719
362.786,1855,2840749976,3603108284,1269,1257,0.048811
395.919,1856,2840752976,3603108284,973,961,0.20042
396.028,1857,2840752976,3603108284,1291,1279,0.108901
396.051,1858,2840752976,3603108284,1421,1409,0.022689
429.291,1859,2840755976,3603108284,913,901,0.09268
429.391,1860,2840755976,3603108284,1242,1230,0.099456
429.413,1861,2840755976,3603108284,1318,1306,0.021624
462.197,1862,2840758976,3603108284,943,931,0.549026
462.311,1863,2840758976,3603108284,1185,1173,0.113903
462.334,1864,2840758976,3603108284,1356,1344,0.022845
495.475,1865,2840761976,3603108284,867,855,0.191467
495.648,1866,2840761976,3603108284,1167,1155,0.173003
495.683,1867,2840761976,3603108284,1288,1276,0.03436
528.617,1868,2840764976,3603108284,1013,1001,0.399297
528.705,1869,2840764976,3603108284,1301,1289,0.088391
528.73,1870,2840764976,3603108284,1343,1331,0.024987
562.071,1871,2840767976,3603108284,858,846,0.007107
562.171,1872,2840767976,3603108284,1307,1295,0.10073
562.199,1873,2840767976,3603108284,1314,1302,0.027773
595.743,1874,2840770976,3603108284,913,901,0.210632
595.868,1875,2840770976,3603108284,1281,1269,0.124873
595.891,1876,2840770976,3603108284,1220,1208,0.023442
628.622,1877,2840773976,3603108284,901,889,0.602698
628.694,1878,2840773976,3603108284,1257,1245,0.071736
628.718,1879,2840773976,3603108284,1223,1211,0.024127
662.232,1880,2840776976,3603108284,1022,1010,0.180239
662.325,1881,2840776976,3603108284,1376,1364,0.093374
662.349,1882,2840776976,3603108284,1341,1329,0.024012
695.588,1883,2840779976,3603108284,901,889,0.093902
695.667,1884,2840779976,3603108284,1399,1387,0.078174
695.687,1885,2840779976,3603108284,1201,1189,0.020398
729.402,1886,2840782976,3603108284,919,907,0.38207
729.515,1887,2840782976,3603108284,1258,1246,0.11244
729.538,1888,2840782976,3603108284,1165,1153,0.023258
762.632,1889,2840785976,3603108284,924,912,0.23959
762.739,1890,2840785976,3603108284,1369,1357,0.107107
762.762,1891,2840785976,3603108284,1108,1096,0.023221
795.779,1892,2840788976,3603108284,950,938,0.316159
795.888,1893,2840788976,3603108284,1357,1345,0.109121
795.916,1894,2840788976,3603108284,1301,1289,0.027283
829.312,1895,2840791976,3603108284,893,881,0.062729
829.39,1896,2840791976,3603108284,1304,1292,0.078648
829.429,1897,2840791976,3603108284,1175,1163,0.039025
862.491,1898,2840794976,3603108284,836,824,0.271758
862.583,1899,2840794976,3603108284,1032,1020,0.091693
862.61,1900,2840794976,3603108284,1029,1017,0.026866
895.649,1901,2840797976,3603108284,814,802,0.293714
895.725,1902,2840797976,3603108284,1088,1076,0.075798
895.747,1903,2840797976,3603108284,1007,995,0.022255
929.014,1904,2840800976,3603108284,904,892,0.066809
929.1,1905,2840800976,3603108284,1193,1181,0.085798
929.121,1906,2840800976,3603108284,1149,1137,0.020996
962.537,1907,2840803976,3603108284,873,861,0.083569
962.644,1908,2840803976,3603108284,1279,1267,0.106409
962.7,1909,2840803976,3603108284,1249,1237,0.05648
996.011,1910,2840806976,3603108284,833,821,0.022881
996.141,1911,2840806976,3603108284,1263,1251,0.129792
996.18,1912,2840806976,3603108284,1255,1243,0.039171
1029.845,1913,2840809976,3603108284,819,807,0.331841
1029.917,1914,2840809976,3603108284,1189,1177,0.071987
1029.957,1915,2840809976,3603108284,1171,1159,0.039687
1061.872,1916,2840812976,3603108284,881,869,1.417839
1061.948,1917,2840812976,3603108284,1339,1327,0.075602
