arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
2.312,1697,512328549,1658880320,179,167,0.0
37.048,1698,512343549,1658880320,980,968,131.930732
83.759,1699,512337549,1658880320,246,234,47721745.467367
104.27,1700,512334549,1658880320,193,181,47721804.999842
148.824,1701,512340549,1658880320,242,230,22.112962
159.804,1702,512355549,1658880320,821,809,155.686031
188.502,1703,512349549,1658880320,276,264,47721763.479783
238.35,1704,512346549,1658880320,186,174,47721775.662892
260.372,1705,512352549,1658880320,211,199,44.644991
307.46,1706,512367549,1658880320,864,852,119.578971
341.286,1707,512361549,1658880320,292,280,47721758.352068
395.731,1708,512358549,1658880320,209,197,47721771.065323
406.775,1709,512364549,1658880320,181,169,55.622984
421.092,1710,512379549,1658880320,940,928,152.349569
458.712,1711,512373549,1658880320,266,254,47721754.557667
512.196,1712,512370549,1658880320,225,213,47721772.027826
571.499,1714,512391549,1658880320,1017,1005,174.030083
609.136,1715,512385549,1658880320,267,255,47721754.54091
622.932,1716,512382549,1658880320,217,205,47721811.714966
660.672,1717,512388549,1658880320,222,210,28.926902
691.3,1718,512403549,1658880320,924,912,136.038256
716.23,1719,512397549,1658880320,279,267,47721767.247236
767.83,1720,512394549,1658880320,232,220,47721773.911922
773.221,1721,512400549,1658880320,228,216,61.275641
822.139,1722,512415549,1658880320,917,905,117.748775
858.619,1723,512409549,1658880320,220,208,47721755.696879
864.033,1724,512406549,1658880320,179,167,47721820.097919
960.19,1725,512412549,1658880320,192,180,29.490567
980.16,1726,512427549,1658880320,849,837,146.697081
1036.425,1727,512421549,1658880320,195,183,47721735.912346
1049.385,1728,512418549,1658880320,156,144,47721812.551472
1067.279,1729,512424549,1658880320,154,142,48.77182
1098.877,1730,512439549,1658880320,877,865,135.069288
1123.59,1731,512433549,1658880320,198,186,47721767.464783
1175.81,1732,512430549,1658880320,186,174,47721773.291308
1206.006,1733,512436549,1658880320,190,178,36.470385
1255.06,1734,512451549,1658880320,1048,1036,117.612816
1271.33,1735,512445549,1658880320,254,242,47721775.907284
1310.003,1736,512442549,1658880320,191,179,47721786.838691
1337.084,1737,512448549,1658880320,224,212,39.585139
1418.06,1740,512454549,1658880320,214,202,14.308686
1430.874,1739,512457549,1658880320,264,252,20.519249
1476.343,1742,512475549,1658880320,1009,997,154.5309
1486.489,1741,512460549,1658880320,167,155,47721682.031401
1525.578,1743,512469549,1658880320,253,241,60.911059
1620.743,1746,512487549,1658880320,976,964,104.835144
1622.565,1745,512472549,1658880320,168,156,47721690.355403
1672.091,1747,512481549,1658880320,221,209,50.474469
1716.583,1748,512478549,1658880320,188,176,47721781.018534
1744.456,1749,512484549,1658880320,234,222,38.794469
1776.948,1750,512499549,1658880320,851,839,134.173882
1796.06,1751,512493549,1658880320,254,242,47721773.066438
1831.438,1752,512490549,1658880320,196,184,47721790.132476
1865.862,1753,512496549,1658880320,181,169,32.242493
1898.833,1754,512511549,1658880320,1003,991,133.696024
1912.437,1755,512505549,1658880320,230,218,47721778.573837
1954.217,1756,512502549,1658880320,166,154,47721783.731291
2007.027,1757,512508549,1658880320,173,161,13.856251
2023.926,1758,512523549,1658880320,913,901,149.768111
2075.882,1759,512517549,1658880320,222,210,47721740.221448
2119.781,1760,512514549,1658880320,196,184,47721781.612208
2142.052,1762,512535549,1658880320,872,860,211.062182
2179.675,1761,512520549,1658880320,204,192,47721654.555006
2190.388,1763,512529549,1658880320,270,258,89.286591
2219.859,1764,512526549,1658880320,194,182,47721796.04073
2286.559,1765,512532549,1658880320,205,193,0.033668
2291.146,1766,512547549,1658880320,803,791,162.079549
2356.314,1767,512541549,1658880320,254,242,47721727.010126
