arrival_ms,sequence,rtp_timestamp,ssrc,packet_bytes,payload_bytes,jitter_component_ms
10.608,1289,3820245403,1064687590,1436,1424,0.0
17.865,1290,3820245403,1064687590,1448,1436,7.256914
17.948,1292,3820248403,1064687590,1244,1232,33.250361
29.272,1293,3820248403,1064687590,1326,1314,11.323931
52.759,1291,3820248403,1064687590,819,807,23.487464
61.882,1296,3820251403,1064687590,1309,1297,24.210709
68.243,1294,3820251403,1064687590,844,832,6.361004
81.594,1295,3820251403,1064687590,1133,1121,13.350723
83.962,1298,3820254403,1064687590,1206,1194,30.965215
94.716,1299,3820254403,1064687590,1345,1333,10.754467
119.797,1297,3820254403,1064687590,830,818,25.080325
140.96,1301,3820257403,1064687590,1256,1244,12.17016
141.792,1300,3820257403,1064687590,907,895,0.832554
144.558,1302,3820257403,1064687590,1460,1448,2.76538
161.212,1305,3820260403,1064687590,1353,1341,16.678811
175.127,1303,3820260403,1064687590,853,841,13.915075
176.346,1304,3820260403,1064687590,1184,1172,1.219111
200.175,1307,3820263403,1064687590,1140,1128,9.504983
208.137,1306,3820263403,1064687590,884,872,7.962585
212.475,1308,3820263403,1064687590,1348,1336,4.337766
233.038,1310,3820266403,1064687590,1149,1137,12.770561
242.27,1309,3820266403,1064687590,929,917,9.232299
252.505,1311,3820266403,1064687590,1330,1318,10.235173
266.945,1312,3820269403,1064687590,1016,1004,18.893814
280.273,1314,3820269403,1064687590,1457,1445,13.328118
281.194,1313,3820269403,1064687590,1329,1317,0.920666
295.143,1317,3820272403,1064687590,1306,1294,19.384288
304.326,1316,3820272403,1064687590,1221,1209,9.183612
310.277,1315,3820272403,1064687590,899,887,5.950282
320.316,1318,3820275403,1064687590,915,903,23.293717
337.712,1320,3820275403,1064687590,1287,1275,17.396179
349.074,1319,3820275403,1064687590,1100,1088,11.361522
376.517,1323,3820278403,1064687590,1269,1257,5.89028
378.323,1322,3820278403,1064687590,1280,1268,1.805654
386.693,1321,3820278403,1064687590,866,854,8.370576
397.783,1324,3820281403,1064687590,973,961,22.243252
405.648,1326,3820281403,1064687590,1421,1409,7.864498
431.002,1328,3820284403,1064687590,1242,1230,7.979405
433.181,1329,3820284403,1064687590,1318,1306,2.179709
444.187,1327,3820284403,1064687590,913,901,11.005765
448.645,1332,3820287403,1064687590,1356,1344,28.875287
465.924,1330,3820287403,1064687590,943,931,17.27876
466.305,1331,3820287403,1064687590,1185,1173,0.380826
486.741,1335,3820290403,1064687590,1288,1276,12.896662
497.512,1334,3820290403,1064687590,1167,1155,10.7709
504.493,1333,3820290403,1064687590,867,855,6.980331
512.37,1337,3820293403,1064687590,1301,1289,25.456508
527.791,1338,3820293403,1064687590,1343,1331,15.421903
538.605,1336,3820293403,1064687590,1013,1001,10.813463
562.543,1339,3820296403,1064687590,858,846,9.395292
577.271,1341,3820296403,1064687590,1314,1302,14.728301
581.904,1340,3820296403,1064687590,1307,1295,4.632985
597.503,1343,3820299403,1064687590,1281,1269,17.734507
602.477,1344,3820299403,1064687590,1220,1208,4.973857
607.86,1342,3820299403,1064687590,913,901,5.383582
636.372,1345,3820302403,1064687590,901,889,4.821618
637.417,1347,3820302403,1064687590,1223,1211,1.044848
647.481,1346,3820302403,1064687590,1257,1245,10.063499
660.512,1348,3820305403,1064687590,1022,1010,20.302292
662.981,1350,3820305403,1064687590,1341,1329,2.469429
675.748,1349,3820305403,1064687590,1376,1364,12.766746
687.526,1353,3820308403,1064687590,1201,1189,21.554855
718.509,1352,3820308403,1064687590,1399,1387,30.982596
720.082,1356,3820311403,1064687590,1165,1153,31.760074
732.047,1351,3820308403,1064687590,901,889,47721813.546428
738.66,1354,3820311403,1064687590,919,907,26.720524
740.948,1357,3820314403,1064687590,924,912,31.044975
742.113,1355,3820311403,1064687590,1258,1246,47721824.34591
776.342,1358,3820314403,1064687590,1369,1357,0.895361
786.882,1359,3820314403,1064687590,1108,1096,10.540014
798.554,1361,3820317403,1064687590,1357,1345,21.661072
803.281,1360,3820317403,1064687590,950,938,4.727337
817.599,1362,3820317403,1064687590,1301,1289,14.317054
837.42,1365,3820320403,1064687590,1175,1163,13.511523
840.257,1364,3820320403,1064687590,1304,1292,2.836822
852.872,1363,3820320403,1064687590,893,881,12.615282
860.565,1366,3820323403,1064687590,836,824,25.641014
861.248,1367,3820323403,1064687590,1032,1020,0.683052
872.601,1368,3820323403,1064687590,1029,1017,11.353637
896.932,1370,3820326403,1064687590,1088,1076,9.002308
904.355,1369,3820326403,1064687590,814,802,7.422523
927.047,1372,3820329403,1064687590,904,892,10.641494
936.112,1374,3820329403,1064687590,1149,1137,9.065305
942.914,1373,3820329403,1064687590,1193,1181,6.801601
960.727,1377,3820332403,1064687590,1249,1237,15.520478
962.448,1375,3820332403,1064687590,873,861,1.721494
963.184,1376,3820332403,1064687590,1279,1267,0.735951
989.045,1378,3820335403,1064687590,833,821,7.472682
990.86,1380,3820335403,1064687590,1255,1243,1.815711
997.677,1379,3820335403,1064687590,1263,1251,6.816696
1030.947,1382,3820338403,1064687590,1189,1177,0.062983
1034.465,1383,3820338403,1064687590,1171,1159,3.517238
1043.279,1381,3820338403,1064687590,819,807,8.814172
1055.5,1385,3820341403,1064687590,1339,1327,21.111901
1067.11,1386,3820341403,1064687590,1308,1296,11.609537
1077.225,1384,3820341403,1064687590,881,869,10.115473
1082.611,1389,3820344403,1064687590,1197,1185,27.947718
1087.108,1388,3820344403,1064687590,1211,1199,4.49695
1092.513,1387,3820344403,1064687590,833,821,5.405252
1129.728,1391,3820347403,1064687590,1147,1135,3.881414
1134.214,1390,3820347403,1064687590,751,739,4.485869
1134.303,1392,3820347403,1064687590,1197,1185,0.088851
1160.254,1394,3820350403,1064687590,1312,1300,7.3817
1171.187,1393,3820350403,1064687590,782,770,10.932429
1174.664,1395,3820350403,1064687590,1161,1149,3.477067
1194.609,1396,3820353403,1064687590,824,812,13.388109
1197.066,1397,3820353403,1064687590,1322,1310,2.457404
1208.744,1398,3820353403,1064687590,1259,1247,11.678052
1230.485,1401,3820356403,1064687590,1202,1190,11.592639
1239.08,1400,3820356403,1064687590,1252,1240,8.595009
1251.244,1399,3820356403,1064687590,784,772,12.164197
1260.475,1404,3820359403,1064687590,1099,1087,24.103028
1270.878,1402,3820359403,1064687590,803,791,10.403432
1272.777,1403,3820359403,1064687590,1175,1163,1.899185
1286.987,1405,3820362403,1064687590,793,781,19.123757
1305.846,1406,3820362403,1064687590,1111,1099,18.859239
